Week,Day,Title,Link,dtitle1,dlink1,dpoints1,drubric1,dtype1,dtitle2,dlink2,dpoints2,drubric2,dtype2,dtitle3,dlink3,dpoints3,drubric3,dtype3,rtitle1,rlink1,rtitle2,rlink2,rtitle3,rlink3,rtitle4,rlink4,rtitle5,rlink5
0,0,Course Overview,../Ursinus-CS374-Overview,Programming Assignment: Warmup Handed Out,./Assignments/Warmup,10,,noupload,,,,,,,,,,,,,,,,,,,,
0,1,History of Programming Languages,../Ursinus-CS374-History,Participation: Pre-Assessment Handed Out,./Assignments/Participation/PreAssessment,10,,written,,,,,,,,,,,,,,,,,,,,
0,2,Modern Language Features,./Activities/ModernFeatures,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,"Programming Paradigms: Imperative, Declaritive, Functional, Object-Oriented, and Scripting",./Activities/Paradigms,Programming Assignment: Warmup Due,./Assignments/Warmup,10,,noupload,,,,,,,,,,,PLAI Ch. 1,,,,,,,,,
1,1,Functional Programming,./Activities/Functional,Participation: Pre-Assessment Due,./Assignments/Participation/PreAssessment,10,,written,Lab: Shell Handed Out,./Labs/Shell,100,_pages/Labs/lab-shell.md,,,,,,,The Scheme Programming Language,https://www.scheme.com/tspl3/,,,,,,,,
1,2,Functional Programming,,,,,,,,,,,,,,,,,PLAI Ch. 2,,,,,,,,,
2,0,Functional Programming,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,Functional Programming,,Lab: Shell Due,./Labs/Shell,100,_pages/Labs/lab-shell.md,,Programming Assignment: Functional Programming Handed Out,./Assignments/Functional,100,_pages/Assignments/asmt-functional.md,,,,,,,Lispy - How to Write a Lisp Interpreter by Peter Norvig,http://norvig.com/lispy.html,PLAI Ch. 3,,,,,,,
2,2,Logic Programming,./Activities/Paradigms,,,,,,,,,,,,,,,,Concise Introduction to Prolog,https://www.cis.upenn.edu/~matuszek/Concise%20Guides/Concise%20Prolog.html,,,,,,,,
3,0,Scripting Languages,./Activities/Paradigms,,,,,,,,,,,,,,,,Bash Syntax Reference,https://tiswww.case.edu/php/chet/bash/bashref.html,Bash Scripting Tutorial,https://linuxconfig.org/bash-scripting-tutorial-for-beginners,Bash Scripting Video,https://youtube.com/watch?v=e7BufAVwDiM,,,,
3,1,Scripting Languages,,,,,,,,,,,,,,,,,PLAI Ch. 4,,,,,,,,,
3,2,Scripting Languages,,Programming Assignment: Functional Programming Due,./Assignments/Functional,100,_pages/Assignments/asmt-functional.md,,Programming Assignment: Shell Scripting Handed Out,./Assignments/Scripting,100,_pages/Assignments/asmt-scripting.md,,,,,,,,,,,,,,,,
4,0,Syntax and Semantics,./Activities/Syntax,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,Syntax and Semantics,,,,,,,,,,,,,,,,,,,,,,,,,,
